key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
adjunkt til kombinationsstilling til sygeplejerskeuddannelsen og plejehjemmet ingeborggården|københavns professionshøjskole,Adjunkt til kombinationsstilling til sygeplejerskeuddannelsen og plejehjemmet Ingeborggården,Københavns Professionshøjskole,København og Frederiksberg,https://www.jobindex.dk/vis-job/h1698924,66.3,,,
operations transformation manager|danmarks skibskredit a/s,Operations Transformation Manager,Danmarks Skibskredit A/S,København K,https://www.jobindex.dk/vis-job/h1698532,66.3,,,
"kontorchef til klima-, energi- og forsyningsministeriets kontor for samfundsøkonomi og analyse|klima-, energi- og forsyningsministeriet","Kontorchef til Klima-, Energi- og Forsyningsministeriets Kontor for Samfundsøkonomi og Analyse","Klima-, Energi- og Forsyningsministeriet",København K,https://www.jobindex.dk/vis-job/h1697358,66.3,,,
linux system administrator med fokus på drift og udvikling|norlys,Linux System Administrator med fokus på drift og udvikling,Norlys,"Aahus, Sønderborg eller København og mulighed for hjemmearbejde",https://www.jobindex.dk/vis-job/h1699533,66.2,,,
linux system administrator med fokus på identitets- og adgangsstyring|norlys,Linux System Administrator med fokus på identitets- og adgangsstyring,Norlys,"Aahus, Sønderborg eller København",https://www.jobindex.dk/vis-job/h1699528,66.2,,,
teamchef for databeskyttelse og compliance i domstolsstyrelsen|domstolsstyrelsen,Teamchef for Databeskyttelse og Compliance i Domstolsstyrelsen,Domstolsstyrelsen,København S,https://www.jobindex.dk/vis-job/h1696943,66.2,,,
finansbachelor praktikanter|pfa,Finansbachelor praktikanter,PFA,København Ø,https://www.jobindex.dk/vis-job/h1699701,66.1,,,
kommunikationschef i pet|politiets efterretningstjeneste,Kommunikationschef i PET,Politiets Efterretningstjeneste,Søborg,https://www.jobindex.dk/vis-job/h1699590,66.1,,,
nordatlantisk rådgiver til styrelsen for samfundssikkerhed|styrelsen for samfundssikkerhed,Nordatlantisk rådgiver til Styrelsen for Samfundssikkerhed,Styrelsen for Samfundssikkerhed,København Ø,https://www.jobindex.dk/vis-job/h1698231,66.1,,,
"some stud.medhjælper til edc poul erik bech, gentofte|edc poul erik bech","SoMe Stud.Medhjælper til EDC Poul Erik Bech, Gentofte",EDC Poul Erik Bech,2820 Gentofte,https://www.jobindex.dk/vis-job/r14002263,66.1,,,
vil du være med til at udvikle rammerne for et godt arbejdsmiljø på frederiksberg kommunes arbejdspladser? (barselsvikariat)|frederiksberg kommune,Vil du være med til at udvikle rammerne for et godt arbejdsmiljø på Frederiksberg Kommunes arbejdspladser? (barselsvikariat),Frederiksberg Kommune,Frederiksberg,https://www.jobindex.dk/vis-job/h1699219,66.0,,,
børnehuset frederiksvej søger afdelingsleder|frederiksberg kommune,Børnehuset Frederiksvej søger afdelingsleder,Frederiksberg Kommune,Frederiksberg,https://www.jobindex.dk/vis-job/h1698328,66.0,,,
rengøringsassistent søges til klinik 8 tmer om ugen|cp65 speciallæge claus lindkær,Rengøringsassistent søges til klinik 8 tmer om ugen,CP65 Speciallæge Claus Lindkær,1573 København V,https://www.jobindex.dk/vis-job/r14005675,66.0,,,
we are looking for indian chef at indian aroma aps|indian aroma aps,We are looking for Indian chef at Indian aroma aps,Indian Aroma ApS,2880 Bagsværd,https://www.jobindex.dk/vis-job/r14003910,66.0,,,
studentermedhjælp til administrative opgaver på rytmisk musikkonservatorium|rytmisk musikkonservatorium,Studentermedhjælp til administrative opgaver på Rytmisk Musikkonservatorium,Rytmisk Musikkonservatorium,1437 København K,https://www.jobindex.dk/vis-job/r14004466,66.0,,,
"chefkonsulent, organisationsudvikling til foreningen af speciallæger (fas)|foreningen af speciallæger","Chefkonsulent, organisationsudvikling til Foreningen af Speciallæger (FAS)",Foreningen af Speciallæger,København Ø,https://www.jobindex.dk/vis-job/h1699260,65.8,,,
maritim planlægger til planlægningssektionen (j5) ved arktisk kommando i københavn|forsvaret,Maritim planlægger til Planlægningssektionen (J5) ved Arktisk Kommando i København,Forsvaret,København Ø,https://www.jobindex.dk/vis-job/h1697565,65.8,,,
pieces lyngby - store manager|pieces,PIECES Lyngby - Store Manager,PIECES,Kongens Lyngby,https://www.jobindex.dk/vis-job/h1698071,65.8,,,
